"PFT","PFT_name","TaxaName","TaxaLevel","Species","Genus","Family"
1,"emergent","Dipterocarpus caudiferus","species","caudiferus","Dipterocarpus","Dipterocarpaceae"
1,"emergent","Dryobalanops lanceolata","species","lanceolata","Dryobalanops","Dipterocarpaceae"
1,"emergent","Parashorea","genus","NA","Parashorea","Dipterocarpaceae"
1,"emergent","Parashorea tomentella","species","tomentella","Parashorea","Dipterocarpaceae"
1,"emergent","Parashorea malaanonan","species","malaanonan","Parashorea","Dipterocarpaceae"
1,"emergent","Parashorea cf. smythiesii","species","cf. smythiesii","Parashorea","Dipterocarpaceae"
1,"emergent","Shorea","genus","NA","Shorea","Dipterocarpaceae"
1,"emergent","Shorea johorensis","species","johorensis","Shorea","Dipterocarpaceae"
1,"emergent","Shorea faguetioides","species","faguetioides","Shorea","Dipterocarpaceae"
1,"emergent","Shorea fallax","species","fallax","Shorea","Dipterocarpaceae"
1,"emergent","Shorea parvifolia","species","parvifolia","Shorea","Dipterocarpaceae"
1,"emergent","Shorea parvistipulata","species","parvistipulata","Shorea","Dipterocarpaceae"
1,"emergent","Shorea macrophylla","species","macrophylla","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 11","morphospecies","sp. 11","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 5","morphospecies","sp. 5","Shorea","Dipterocarpaceae"
1,"emergent","Shorea falciferoides","species","falciferoides","Shorea","Dipterocarpaceae"
1,"emergent","Shorea pauciflora","species","pauciflora","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 10","morphospecies","sp. 10","Shorea","Dipterocarpaceae"
1,"emergent","Shorea pilosa","species","pilosa","Shorea","Dipterocarpaceae"
1,"emergent","Shorea ovata","species","ovata","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 7","morphospecies","sp. 7","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 6","morphospecies","sp. 6","Shorea","Dipterocarpaceae"
1,"emergent","Shorea gibbosa","species","gibbosa","Shorea","Dipterocarpaceae"
1,"emergent","Shorea macroptera","species","macroptera","Shorea","Dipterocarpaceae"
1,"emergent","Shorea argentifolia","species","argentifolia","Shorea","Dipterocarpaceae"
1,"emergent","Shorea pinanga","species","pinanga","Shorea","Dipterocarpaceae"
1,"emergent","Shorea leprosula","species","leprosula","Shorea","Dipterocarpaceae"
1,"emergent","Shorea inappendiculata","species","inappendiculata","Shorea","Dipterocarpaceae"
1,"emergent","Shorea angustifolia","species","angustifolia","Shorea","Dipterocarpaceae"
1,"emergent","Shorea beccariana","species","beccariana","Shorea","Dipterocarpaceae"
1,"emergent","Shorea obscura","species","obscura","Shorea","Dipterocarpaceae"
1,"emergent","Shorea cf. gibbosa","species","cf. gibbosa","Shorea","Dipterocarpaceae"
1,"emergent","Shorea agami","species","agami","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 3","morphospecies","sp. 3","Shorea","Dipterocarpaceae"
1,"emergent","Shorea atrinervosa","species","atrinervosa","Shorea","Dipterocarpaceae"
1,"emergent","Shorea acuminatissima","species","acuminatissima","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 4","morphospecies","sp. 4","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 8","morphospecies","sp. 8","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 9","morphospecies","sp. 9","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 16","morphospecies","sp. 16","Shorea","Dipterocarpaceae"
1,"emergent","Shorea ovalis","species","ovalis","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 21","morphospecies","sp. 21","Shorea","Dipterocarpaceae"
1,"emergent","Shorea cf. pinanga","species","cf. pinanga","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 15","morphospecies","sp. 15","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 17","morphospecies","sp. 17","Shorea","Dipterocarpaceae"
1,"emergent","Shorea leptoderma","species","leptoderma","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 13","morphospecies","sp. 13","Shorea","Dipterocarpaceae"
1,"emergent","Shorea sp. 20","morphospecies","sp. 20","Shorea","Dipterocarpaceae"
1,"emergent","Shorea symingtonii","species","symingtonii","Shorea","Dipterocarpaceae"
1,"emergent","Shorea laevis","species","laevis","Shorea","Dipterocarpaceae"
1,"emergent","Shorea smithiana","species","smithiana","Shorea","Dipterocarpaceae"
1,"emergent","Shorea hopeifolia","species","hopeifolia","Shorea","Dipterocarpaceae"
1,"emergent","Shorea superba","species","superba","Shorea","Dipterocarpaceae"
1,"emergent","Shorea foxworthyi","species","foxworthyi","Shorea","Dipterocarpaceae"
